No,DATE,DATETIME,TIME,RACE,GENDER,BODY_SIZE,AGE_RANGE,KIDS_CATEGORY,BASKET_SIZE,BASKET_COLOUR,ATTIRE,SHIRT_COLOUR,SHIRT_TYPE,PANTS_COLOUR,PANTS_TYPE,WASH_ITEM,WASHER_NO,DRYER_NO,SPECTACLES,AGE_GROUP,PART_OF_DAY,DAY_OF_WEEK
1,19/10/2015,2015-10-19 20:17:50,20:17:50,malay,1,1,28,4,0,8,0,1,1,0,1,1,3,10,0,"(27.999, 33.0]",Evening,0
2,19/10/2015,2015-10-19 20:28:42,20:28:42,indian,1,2,32,1,0,3,0,10,1,2,0,1,6,9,0,"(27.999, 33.0]",Evening,0
3,19/10/2015,2015-10-19 20:58:31,20:58:31,malay,0,1,30,1,0,1,0,8,1,0,0,1,4,10,0,"(27.999, 33.0]",Evening,0
4,19/10/2015,2015-10-19 21:31:28,21:31:28,indian,1,2,51,1,2,0,0,0,1,12,1,1,5,9,0,"(47.0, 51.0]",Night,0
5,19/10/2015,2015-10-19 21:40:28,21:40:28,indian,1,1,34,1,0,1,0,1,1,11,0,1,3,9,0,"(33.0, 38.0]",Night,0
6,19/10/2015,2015-10-19 23:45:38,23:45:38,unknown,1,0,50,1,1,10,0,2,2,2,0,1,4,8,0,"(47.0, 51.0]",Night,0
7,19/10/2015,2015-10-19 23:53:38,23:53:38,unknown,0,0,45,1,0,6,2,1,2,0,0,1,5,10,0,"(42.0, 47.0]",Night,0
8,20/10/2015,2015-10-20 00:24:01,0:24:01,indian,1,2,49,1,0,1,0,10,1,3,0,1,3,9,0,"(47.0, 51.0]",Late Night,1
9,20/10/2015,2015-10-20 00:45:19,0:45:19,indian,1,2,30,1,1,7,0,10,1,0,1,1,6,10,0,"(27.999, 33.0]",Late Night,1
10,20/10/2015,2015-10-20 01:17:50,1:17:50,chinese,1,1,33,1,1,6,0,10,1,2,1,2,5,7,0,"(27.999, 33.0]",Late Night,1
11,20/10/2015,2015-10-20 03:07:16,3:07:16,foreigner,0,0,45,1,0,8,3,0,1,5,1,2,4,8,0,"(42.0, 47.0]",Late Night,1
12,20/10/2015,2015-10-20 07:23:12,7:23:12,unknown,1,1,37,1,0,1,0,2,1,2,0,2,4,8,0,"(33.0, 38.0]",Early Morning,1
13,20/10/2015,2015-10-20 07:23:12,7:23:12,malay,0,1,42,1,0,1,0,1,0,2,0,1,3,7,0,"(38.0, 42.0]",Early Morning,1
14,20/10/2015,2015-10-20 09:06:14,9:06:14,malay,1,1,32,1,0,11,0,11,1,0,0,1,3,9,1,"(27.999, 33.0]",Morning,1
15,20/10/2015,2015-10-20 10:05:17,10:05:17,malay,0,1,55,4,0,8,0,2,0,5,0,1,3,8,1,"(51.0, 55.0]",Morning,1
16,20/10/2015,2015-10-20 10:41:35,10:41:35,unknown,1,2,33,1,0,2,1,1,0,3,0,1,5,9,0,"(27.999, 33.0]",Morning,1
17,20/10/2015,2015-10-20 10:49:31,10:49:31,malay,0,2,55,2,0,1,0,2,0,5,0,1,4,7,0,"(51.0, 55.0]",Morning,1
18,20/10/2015,2015-10-20 10:57:47,10:57:47,malay,1,0,37,2,0,1,0,4,2,5,0,1,5,9,0,"(33.0, 38.0]",Morning,1
19,20/10/2015,2015-10-20 11:13:26,11:13:26,malay,0,0,55,3,0,1,2,5,0,6,0,1,6,7,1,"(51.0, 55.0]",Morning,1
20,20/10/2015,2015-10-20 11:19:20,11:19:20,malay,0,1,50,4,0,6,0,3,0,5,0,1,5,10,0,"(47.0, 51.0]",Morning,1
21,20/10/2015,2015-10-20 11:27:26,11:27:26,indian,1,0,34,1,0,0,0,8,1,5,0,1,3,10,0,"(33.0, 38.0]",Morning,1
22,20/10/2015,2015-10-20 11:27:57,11:27:57,unknown,1,1,53,0,0,6,1,8,0,0,0,1,5,9,0,"(51.0, 55.0]",Morning,1
23,20/10/2015,2015-10-20 11:28:43,11:28:43,malay,0,0,38,4,0,10,0,8,2,1,0,0,3,7,0,"(33.0, 38.0]",Morning,1
24,20/10/2015,2015-10-20 13:36:46,13:36:46,chinese,0,2,29,1,1,10,0,2,1,0,0,0,3,7,1,"(27.999, 33.0]",Afternoon,1
25,20/10/2015,2015-10-20 12:10:46,12:10:46,chinese,0,1,44,1,0,10,0,0,1,0,0,1,5,7,0,"(42.0, 47.0]",Morning,1
26,20/10/2015,2015-10-20 13:44:03,13:44:03,chinese,0,1,42,1,1,5,0,0,1,0,0,1,3,8,0,"(38.0, 42.0]",Afternoon,1
27,20/10/2015,2015-10-20 13:47:46,13:47:46,chinese,1,2,41,1,0,10,3,0,2,3,0,1,6,9,0,"(38.0, 42.0]",Afternoon,1
28,20/10/2015,2015-10-20 14:39:57,14:39:57,chinese,1,2,36,4,0,8,3,4,2,11,1,0,5,9,1,"(33.0, 38.0]",Afternoon,1
29,20/10/2015,2015-10-20 14:54:19,14:54:19,indian,1,0,39,1,0,1,3,0,2,2,0,1,4,10,0,"(38.0, 42.0]",Afternoon,1
30,20/10/2015,2015-10-20 14:54:19,14:54:19,indian,1,2,42,1,0,1,3,0,1,2,0,1,6,9,0,"(38.0, 42.0]",Afternoon,1
31,20/10/2015,2015-10-20 15:26:05,15:26:05,malay,0,0,32,1,0,7,3,7,0,0,0,1,3,7,0,"(27.999, 33.0]",Afternoon,1
